lang,rank,k,accuracy,macro_f1
zh,3,12,0.7,0.6956867853524389
zh,3,13,0.6916666666666667,0.6905398414685022
zh,3,14,0.675,0.6772640480087289
zh,3,15,0.6583333333333333,0.6561072670447288
zh,3,16,0.65,0.6469528658903277
zh,3,17,0.65,0.6478312145947633
zh,3,18,0.6583333333333333,0.6566389400824356
zh,3,19,0.65,0.645477316221997
zh,3,20,0.625,0.6180022871859924
zh,3,21,0.65,0.643758384746968
pooled,0,1,0.33253873659118,0.29771972298634575
pooled,0,2,0.5017878426698451,0.4788190968491836
pooled,0,3,0.5399284862932062,0.529217256041644
pooled,0,4,0.564958283671037,0.5561677241245653
pooled,0,5,0.5756853396901073,0.5692767592202241
pooled,0,6,0.5935637663885578,0.5873194399070416
pooled,0,7,0.5887961859356377,0.5812265597285231
pooled,0,8,0.5840286054827175,0.5797344670093169
pooled,0,9,0.5840286054827175,0.5799622197931364
pooled,0,10,0.5911799761620977,0.584242622359979
pooled,0,11,0.599523241954708,0.5939431286360316
pooled,0,12,0.6066746126340882,0.602218274608321
pooled,0,13,0.6209773539928486,0.6157637897180901
pooled,0,14,0.6174016686531585,0.6135399427923597
pooled,0,15,0.6150178784266984,0.6104168127991294
pooled,0,16,0.6126340882002383,0.6073670009879881
pooled,0,17,0.6054827175208581,0.599063252943774
pooled,0,18,0.6126340882002383,0.6077659691225555
pooled,0,19,0.6197854588796186,0.6152658412847914
pooled,0,20,0.6221692491060786,0.6196051864181277
pooled,0,21,0.6162097735399285,0.6126471332445993
