translator,lang,rank,feature,spearman_rho,p,eta2_model_before,eta2_model_after
llm,ja,5,hapax_rate,0.6144566598874457,8.369244160157906e-14,0.4046150958374322,0.25052647041330034
llm,ja,5,mean_token_len,0.13339120772275853,0.1463814973313097,0.4046150958374322,0.25052647041330034
llm,ja,5,zipf_slope,0.6335717758177651,8.101079593330567e-15,0.4046150958374322,0.25052647041330034
llm,ja,5,sent_len_mean,0.8103109400770981,3.68541545853756e-29,0.4046150958374322,0.25052647041330034
llm,ja,5,sent_len_sd,0.7060768108896449,2.1201771491586738e-19,0.4046150958374322,0.25052647041330034
llm,ja,5,burstiness,0.7115285783734981,8.416953714027413e-20,0.4046150958374322,0.25052647041330034
llm,ja,5,dep_depth,0.6396325540887138,3.733366083739806e-15,0.4046150958374322,0.25052647041330034
llm,ja,5,subord_rate,0.7473582588320067,1.0891085540343068e-22,0.4046150958374322,0.25052647041330034
llm,ja,5,func_word_ratio,0.4324107528867179,8.140484222866558e-07,0.4046150958374322,0.25052647041330034
llm,ja,5,first_person_rate,0.6947907337195839,1.3444428228594488e-18,0.4046150958374322,0.25052647041330034
llm,ja,5,para_count,0.9888880847243315,1.5467026481120374e-99,0.4046150958374322,0.25052647041330034
llm,ja,5,para_len_mean,0.9686387132201546,3.324398797196496e-73,0.4046150958374322,0.25052647041330034
llm,ja,5,question_rate,,,0.4046150958374322,0.25052647041330034
llm,ja,5,connective_rate,0.03672502760716115,0.6904635744170179,0.4046150958374322,0.25052647041330034
llm,ja,5,comma_per_1k,0.6681910913189052,7.597949631197788e-17,0.4046150958374322,0.25052647041330034
llm,ja,5,colon_per_1k,0.17905078104136812,0.05038085482072076,0.4046150958374322,0.25052647041330034
llm,ja,5,dash_per_1k,0.4702991422033484,5.963711659462822e-08,0.4046150958374322,0.25052647041330034
llm,ja,5,semicolon_per_1k,,,0.4046150958374322,0.25052647041330034
llm,ja,5,bigram_entropy,0.37376206681019514,2.611474128989438e-05,0.4046150958374322,0.25052647041330034
llm,ja,5,digit_rate,0.822793260026937,9.815655609492705e-31,0.4046150958374322,0.25052647041330034
llm,ru,4,mattr,0.16962983540523643,0.06399726064796206,0.4046150958374322,0.3003767159502373
llm,ru,4,hapax_rate,0.6614706679022303,1.9737055085056895e-16,0.4046150958374322,0.3003767159502373
llm,ru,4,mean_token_len,0.7730467393568997,4.458706997110787e-25,0.4046150958374322,0.3003767159502373
llm,ru,4,zipf_slope,0.5892492534203763,1.444347302412769e-12,0.4046150958374322,0.3003767159502373
llm,ru,4,sent_len_mean,0.914381807977326,3.667133992604726e-48,0.4046150958374322,0.3003767159502373
llm,ru,4,sent_len_sd,0.8697756788665878,5.332480870201245e-38,0.4046150958374322,0.3003767159502373
