cell_id,model_key,model_served,prompt_id,lang,gen,fk_tier,stance,n_tokens,n_sentences,mattr,hapax_rate,mean_token_len,zipf_slope,sent_len_mean,sent_len_sd,burstiness,dep_depth,subord_rate,func_word_ratio,first_person_rate,para_count,para_len_mean,question_rate,connective_rate,comma_per_1k,colon_per_1k,dash_per_1k,semicolon_per_1k,bigram_entropy,digit_rate
claude|P04|es|1,claude,anthropic/claude-opus-4.7,P04,es,1,expert,for,371,12,0.8039130434782609,0.4932614555256064,5.633423180592992,-0.5188537882920995,30.916666666666668,16.300910924537224,-0.3095405670462052,6.5,1.6666666666666667,0.4150943396226415,0.0,6,61.833333333333336,0.0,59.299191374663074,70.08086253369272,5.390835579514825,5.390835579514825,0.0,7.536897237718251,11.726078799249532
claude|P04|es|0,claude,anthropic/claude-opus-4.7,P04,es,0,expert,for,391,13,0.772280701754386,0.4705882352941176,5.621483375959079,-0.5285816555177589,30.07692307692308,14.568582283241897,-0.3473662279902989,5.923076923076923,1.0,0.4040920716112532,0.0,6,65.16666666666667,0.0,51.15089514066496,69.0537084398977,2.557544757033248,5.115089514066496,0.0,7.573797688388271,13.826940231935772
claude|P05|es|0,claude,anthropic/claude-opus-4.7,P05,es,0,educated,against,374,15,0.8319384615384615,0.4732620320855615,5.949197860962567,-0.5285755517202915,24.933333333333334,9.114091653404998,-0.4646237325169237,6.4,1.7333333333333334,0.4117647058823529,0.0,6,62.333333333333336,0.0,58.8235294117647,69.5187165775401,5.347593582887701,10.6951871657754,2.6737967914438503,7.317451262189341,0.0
claude|P06|es|0,claude,anthropic/claude-opus-4.7,P06,es,0,expert,against,362,15,0.8071565495207668,0.4889502762430939,5.765193370165746,-0.5227646829344887,24.133333333333333,11.776894246584629,-0.3440924750267744,5.666666666666667,1.2666666666666666,0.4447513812154696,5.524861878453039,4,90.5,0.0,49.72375690607735,74.58563535911603,2.7624309392265194,5.524861878453039,0.0,7.399701047317426,0.0
claude|P05|es|1,claude,anthropic/claude-opus-4.7,P05,es,1,educated,against,384,17,0.8591044776119405,0.4713541666666667,6.221354166666667,-0.5270999402098788,22.58823529411765,9.421112086222967,-0.4113524418801996,6.470588235294118,1.5294117647058822,0.3697916666666667,0.0,6,64.0,0.0,80.72916666666667,88.54166666666667,2.6041666666666665,5.208333333333333,0.0,7.313453885923638,0.0
claude|P06|es|1,claude,anthropic/claude-opus-4.7,P06,es,1,expert,against,364,15,0.8283174603174602,0.532967032967033,5.8901098901098905,-0.4777660582043675,24.266666666666666,10.038971679457632,-0.4147334278890169,6.0,1.2,0.4285714285714285,8.241758241758241,4,91.0,0.0,65.93406593406593,87.91208791208791,2.7472527472527477,5.494505494505495,2.7472527472527477,7.45589767866513,0.0
claude|P07|es|0,claude,anthropic/claude-opus-4.7,P07,es,0,educated,against,374,15,0.8676923076923077,0.4759358288770053,6.237967914438503,-0.5340079577958241,24.933333333333334,9.098403836989892,-0.465298889007406,6.266666666666667,1.4666666666666666,0.4331550802139037,0.0,6,62.333333333333336,0.0,72.19251336898395,50.80213903743316,2.6737967914438503,10.6951871657754,0.0,7.272287902761605,0.0
claude|P08|es|0,claude,anthropic/claude-opus-4.7,P08,es,0,general,for,363,16,0.8292356687898089,0.4683195592286501,5.3856749311294765,-0.5577562640938991,22.6875,9.407222402671968,-0.4137838436708963,5.875,1.4375,0.4104683195592286,2.7548209366391183,6,60.5,0.0,85.39944903581267,71.62534435261708,2.7548209366391183,5.509641873278237,0.0,7.407254640739245,1.0015022533800702
claude|P08|es|1,claude,anthropic/claude-opus-4.7,P08,es,1,general,for,360,15,0.8627009646302252,0.4861111111111111,5.572222222222222,-0.523811833381807,24.0,11.826121209303702,-0.3398045442757799,5.866666666666666,1.6666666666666667,0.4138888888888888,0.0,5,72.0,0.0,88.88888888888889,86.11111111111111,8.333333333333334,0.0,2.7777777777777777,7.457935606124272,2.9197080291970803
claude|P07|es|1,claude,anthropic/claude-opus-4.7,P07,es,1,educated,against,381,14,0.8404819277108434,0.4619422572178477,6.0498687664042,-0.5455003124261729,27.214285714285715,9.633104551322138,-0.47713504365527,6.785714285714286,1.7857142857142858,0.4356955380577428,0.0,6,63.5,0.0,52.493438320209975,76.11548556430446,2.6246719160104988,5.2493438320209975,0.0,7.274027614689286,1.7079419299743808
claude|P09|es|0,claude,anthropic/claude-opus-4.7,P09,es,0,expert,for,373,20,0.8564197530864198,0.4745308310991957,5.729222520107238,-0.5402904787407998,18.65,4.029823033857756,-0.6446336439361275,5.4,1.2,0.4477211796246649,8.04289544235925,6,62.16666666666666,0.0,75.06702412868633,67.02412868632707,8.04289544235925,0.0,0.0,7.384067153988379,0.0
claude|P09|es|1,claude,anthropic/claude-opus-4.7,P09,es,1,expert,for,384,16,0.8311641791044775,0.4661458333333333,5.458333333333333,-0.5473668649016127,24.0,9.702233419854077,-0.4242379548568158,6.0625,1.5625,0.4348958333333333,10.416666666666666,5,76.8,0.0,83.33333333333333,72.91666666666667,5.208333333333333,5.208333333333333,0.0,7.41607814369216,0.0
claude|P10|es|1,claude,anthropic/claude-opus-4.7,P10,es,1,educated,against,372,17,0.8387616099071208,0.5134408602150538,5.956989247311828,-0.5028927084786153,21.88235294117647,9.841762754590617,-0.3795406088558811,5.411764705882353,1.0588235294117647,0.4435483870967742,2.6881720430107525,6,62.0,0.0,64.51612903225806,77.95698924731182,5.376344086021505,0.0,0.0,7.404592283036459,0.0
claude|P10|es|0,claude,anthropic/claude-opus-4.7,P10,es,0,educated,against,368,18,0.8278996865203763,0.5190217391304348,5.899456521739131,-0.4942056383821282,20.444444444444443,7.492916044483162,-0.4635916984746769,5.5,1.1666666666666667,0.4293478260869565,2.717391304347826,6,61.333333333333336,0.0,48.91304347826087,65.21739130434783,8.152173913043478,0.0,0.0,7.399113514794676,0.0
claude|P11|es|0,claude,anthropic/claude-opus-4.7,P11,es,0,general,against,369,15,0.8708125000000001,0.4905149051490515,5.571815718157182,-0.5268309363441153,24.6,14.544512956536469,-0.2568811382230887,5.533333333333333,2.7333333333333334,0.4336043360433604,5.420054200542006,6,61.5,0.0666666666666666,89.4308943089431,75.88075880758808,5.420054200542006,5.420054200542006,0.0,7.41351905581477,0.0
claude|P11|es|1,claude,anthropic/claude-opus-4.7,P11,es,1,general,against,370,15,0.8471651090342679,0.4945945945945946,5.375675675675676,-0.5278224857395188,24.666666666666668,11.081945849422103,-0.3800069390421997,6.266666666666667,2.0,0.4729729729729729,16.216216216216218,6,61.66666666666666,0.0,75.67567567567568,75.67567567567568,2.702702702702702,0.0,0.0,7.344648529767575,0.0
claude|P12|es|0,claude,anthropic/claude-opus-4.7,P12,es,0,expert,for,389,16,0.8003529411764706,0.5012853470437018,5.246786632390745,-0.5197206869008066,24.3125,11.992879832078144,-0.3393331849137322,6.0,1.9375,0.4627249357326478,10.282776349614396,5,77.8,0.0,69.40874035989717,82.26221079691517,5.141388174807198,5.141388174807198,7.712082262210797,7.416621789432865,0.0
claude|P12|es|1,claude,anthropic/claude-opus-4.7,P12,es,1,expert,for,357,16,0.8422727272727273,0.5070028011204482,5.383753501400561,-0.509210720931604,22.3125,10.358370206424048,-0.365895665406103,5.625,1.8125,0.4117647058823529,5.602240896358543,5,71.4,0.0,67.22689075630252,86.83473389355743,11.204481792717086,0.0,2.8011204481792715,7.423076523936449,0.0
claude|P01|zh|0,claude,anthropic/claude-opus-4.7,P01,zh,0,general,for,496,18,0.8840715883668905,0.4233870967741935,1.6068548387096775,-0.5602232078032636,27.55555555555556,8.43816415928755,-0.531131307009216,5.722222222222222,3.6666666666666665,0.3125,0.0,6,82.66666666666667,0.0,127.01612903225806,92.74193548387096,2.0161290322580645,0.0,2.0161290322580645,9.243904985019505,0.0
claude|P01|zh|1,claude,anthropic/claude-opus-4.7,P01,zh,1,general,for,499,18,0.8793333333333334,0.4248496993987976,1.6172344689378757,-0.5620415733287684,27.72222222222222,10.823751418581352,-0.4383978197336977,5.666666666666667,2.5,0.3046092184368738,0.0,6,83.16666666666667,0.0,130.26052104208418,88.17635270541082,0.0,0.0,2.004008016032064,9.154876359080902,0.0
claude|P04|zh|0,claude,anthropic/claude-opus-4.7,P04,zh,0,expert,for,481,17,0.88,0.4158004158004158,1.6424116424116424,-0.5554026311184589,28.294117647058822,9.8790479417449,-0.4824087659818055,5.823529411764706,2.5294117647058822,0.3180873180873181,0.0,6,80.16666666666667,0.0,118.5031185031185,93.55509355509356,0.0,0.0,0.0,9.230695959773971,4.700352526439483
claude|P04|zh|1,claude,anthropic/claude-opus-4.7,P04,zh,1,expert,for,520,20,0.8721019108280256,0.3826923076923076,1.603846153846154,-0.5791043527670255,26.0,7.9273012597704335,-0.5326889575404989,5.75,2.5,0.3153846153846154,0.0,6,86.66666666666667,0.0,119.23076923076924,92.3076923076923,1.9230769230769231,0.0,0.0,9.258206696959338,2.2123893805309733
claude|P02|zh|0,claude,anthropic/claude-opus-4.7,P02,zh,0,educated,for,600,19,0.8762613430127043,0.39,1.68,-0.5644353652726246,31.57894736842105,13.292921213411478,-0.4075164848921205,5.526315789473684,3.789473684210526,0.28,0.0,5,120.0,0.0,111.66666666666669,95.0,1.6666666666666667,0.0,0.0,9.50757909802221,0.0
claude|P03|zh|0,claude,anthropic/claude-opus-4.7,P03,zh,0,general,against,547,27,0.8613253012048194,0.4314442413162705,1.638025594149909,-0.541440152081252,20.25925925925926,8.26760402736345,-0.4203636099563436,5.148148148148148,2.6666666666666665,0.3180987202925046,0.0,6,91.16666666666669,0.0,109.68921389396708,104.20475319926874,0.0,10.968921389396709,1.828153564899452,9.37342882898426,0.0
claude|P02|zh|1,claude,anthropic/claude-opus-4.7,P02,zh,1,educated,for,591,21,0.89239852398524,0.4128595600676819,1.6835871404399323,-0.5408877427480195,28.142857142857142,9.860454930101929,-0.4810739173905819,5.904761904761905,3.523809523809524,0.2893401015228426,0.0,5,118.2,0.0,116.751269035533,81.21827411167513,0.0,0.0,0.0,9.548726273790912,0.0
claude|P03|zh|1,claude,anthropic/claude-opus-4.7,P03,zh,1,general,against,551,26,0.8584860557768925,0.4029038112522686,1.6823956442831216,-0.5649018462977999,21.192307692307693,7.002966404427374,-0.5032524684526264,5.038461538461538,2.8846153846153846,0.3012704174228675,3.629764065335753,7,78.71428571428571,0.0,119.78221415607986,101.63339382940109,1.8148820326678765,0.0,0.0,9.388171682554072,0.0
claude|P05|zh|0,claude,anthropic/claude-opus-4.7,P05,zh,0,educated,against,596,24,0.8841316270566728,0.4295302013422818,1.6946308724832215,-0.5535351772528402,24.83333333333333,10.716369707608306,-0.3971049662346517,5.458333333333333,3.333333333333333,0.2802013422818792,1.6778523489932886,6,99.33333333333331,0.0,102.3489932885906,90.60402684563758,0.0,10.06711409395973,0.0,9.572661014127275,0.0
claude|P05|zh|1,claude,anthropic/claude-opus-4.7,P05,zh,1,educated,against,596,24,0.8884095063985376,0.4496644295302013,1.672818791946309,-0.5257367308623796,24.83333333333333,9.621835071592503,-0.4414866902686837,5.875,4.083333333333333,0.2768456375838926,0.0,6,99.33333333333331,0.0,100.67114093959732,90.60402684563758,0.0,3.355704697986577,0.0,9.588271324662491,0.0
